feature,importance,dispersion,model,target_type,rank
log_return_1,0.09166666666666666,0.08498365855987976,random_forest_classifier,classification,1
momentum_5,0.09166666666666666,0.1404358295529393,random_forest_classifier,classification,2
return_5,0.09166666666666666,0.1404358295529393,random_forest_classifier,classification,3
return_1,0.08333333333333333,0.07453559924999299,random_forest_classifier,classification,4
rolling_zscore_20,0.06666666666666667,0.10069204977995477,random_forest_classifier,classification,5
close_to_ma_5,0.041666666666666664,0.05892556509887897,random_forest_classifier,classification,6
high_low_range,0.0,0.0,random_forest_classifier,classification,7
ma_spread_5_20,0.0,0.0,random_forest_classifier,classification,8
normalized_atr_20,0.0,0.0,random_forest_classifier,classification,9
return_10,0.0,0.0,random_forest_classifier,classification,10
rolling_mean_20,0.0,0.0,random_forest_classifier,classification,11
rolling_std_20,0.0,0.0,random_forest_classifier,classification,12
trend_regime,0.0,0.0,random_forest_classifier,classification,13
volatility_20,0.0,0.0,random_forest_classifier,classification,14
volatility_regime,0.0,0.0,random_forest_classifier,classification,15
volume_change_1,0.0,0.0,random_forest_classifier,classification,16
volume_mean_20,0.0,0.0,random_forest_classifier,classification,17
volume_ratio_20,0.0,0.0,random_forest_classifier,classification,18
