fold,model,target_type,train_start,train_end,evaluation_start,evaluation_end,train_samples,evaluation_samples,feature_count,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,mae,rmse,r2,pearson_correlation,spearman_correlation,mean_error
1,majority_class,classification,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,0,0.0,,0.0,0.0,0.0,,,,,,,
1,logistic_regression,classification,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,18,0.0,,0.0,0.0,0.0,,,,,,,
1,random_forest_classifier,classification,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,18,0.375,,1.0,0.375,0.5454545454545454,,,,,,,
1,hist_gradient_boosting_classifier,classification,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,18,0.0,,0.0,0.0,0.0,,,,,,,
1,historical_mean,regression,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,0,,,,,,,0.0017782598446513254,0.002034036708801718,-3.2429668428242264,,,0.0017782598446513254
1,zero_return,regression,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,0,,,,,,,0.002439991633806121,0.002632234113960503,-6.105605493517893,,,0.002439991633806121
1,linear_regression,regression,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,18,,,,,,,3.0239452395482424e-06,4.756974070025504e-06,0.9999767932869,0.9999980200377704,1.0,3.00880708551544e-06
1,random_forest_regressor,regression,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,18,,,,,,,0.0020916096317186205,0.002198918872749372,-3.958730189200497,0.9819843135713668,1.0,0.0020916096317186205
1,hist_gradient_boosting_regressor,regression,2024-03-20 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-02 00:00:00+00:00,2024-04-09 00:00:00+00:00,12,8,18,,,,,,,0.0017782598446513254,0.002034036708801718,-3.2429668428242264,,,0.0017782598446513254
2,majority_class,classification,2024-03-20 00:00:00+00:00,2024-04-08 00:00:00+00:00,2024-04-10 00:00:00+00:00,2024-04-17 00:00:00+00:00,20,8,0,1.0,,1.0,1.0,1.0,,,,,,,
2,logistic_regression,classification,2024-03-20 00:00:00+00:00,2024-04-08 00:00:00+00:00,2024-04-10 00:00:00+00:00,2024-04-17 00:00:00+00:00,20,8,18,1.0,,1.0,1.0,1.0,,,,,,,
2,random_forest_classifier,classification,2024-03-20 00:00:00+00:00,2024-04-08 00:00:00+00:00,2024-04-10 00:00:00+00:00,2024-04-17 00:00:00+00:00,20,8,18,1.0,,1.0,1.0,1.0,,,,,,,
2,hist_gradient_boosting_classifier,classification,2024-03-20 00:00:00+00:00,2024-04-08 00:00:00+00:00,2024-04-10 00:00:00+00:00,2024-04-17 00:00:00+00:00,20,8,18,1.0,,1.0,1.0,1.0,,,,,,,
2,historical_mean,regression,2024-03-20 00:00:00+00:00,2024-04-08 00:00:00+00:00,2024-04-10 00:00:00+00:00,2024-04-17 00:00:00+00:00,20,8,0,,,,,,,0.0015709056002289,0.0017867757321837422,-3.404616054575266,,,0.0015709056002289
2,zero_return,regression,2024-03-20 00:00:00+00:00,2024-04-08 00:00:00+00:00,2024-04-10 00:00:00+00:00,2024-04-17 00:00:00+00:00,20,8,0,,,,,,,0.002777076070392126,0.0029046470720269614,-10.640046336790284,,,0.002777076070392126
