fold,model,target_type,metric,train_metric,oos_metric,overfit_gap
1,logistic_regression,classification,accuracy,1.0,0.0,1.0
1,random_forest_classifier,classification,accuracy,1.0,0.375,0.625
1,hist_gradient_boosting_classifier,classification,accuracy,0.5,0.0,0.5
1,linear_regression,regression,rmse,2.3967262172912894e-11,4.756974070025504e-06,4.756950102763331e-06
1,random_forest_regressor,regression,rmse,0.000392288294418256,0.002198918872749372,0.0018066305783311161
1,hist_gradient_boosting_regressor,regression,rmse,0.0010879837514045562,0.002034036708801718,0.0009460529573971619
2,logistic_regression,classification,accuracy,1.0,1.0,0.0
2,random_forest_classifier,classification,accuracy,1.0,1.0,0.0
2,hist_gradient_boosting_classifier,classification,accuracy,0.7,1.0,-0.30000000000000004
2,linear_regression,regression,rmse,9.033363709324278e-10,8.883346942892326e-06,8.882443606521394e-06
2,random_forest_regressor,regression,rmse,0.0003392012120195317,0.0006587263191338363,0.0003195251071143046
2,hist_gradient_boosting_regressor,regression,rmse,0.0012703501678349152,0.0017867757321837422,0.000516425564348827
3,logistic_regression,classification,accuracy,1.0,0.75,0.25
3,random_forest_classifier,classification,accuracy,1.0,0.875,0.125
3,hist_gradient_boosting_classifier,classification,accuracy,0.7857142857142857,0.375,0.4107142857142857
3,linear_regression,regression,rmse,1.7689561979621342e-09,2.353540527527035e-06,2.351771571329073e-06
3,random_forest_regressor,regression,rmse,0.0002544794512853371,0.0005311059605013906,0.00027662650921605347
3,hist_gradient_boosting_regressor,regression,rmse,0.0014140724342976922,0.0018036113278697514,0.00038953889357205927
