model,target_type,metric,mean,median,std,min,max,folds,valid_folds
majority_class,classification,balanced_accuracy,0.5,0.5,0.0,0.5,0.5,3,1
majority_class,classification,f1,0.5151515151515151,0.5454545454545454,0.40881022918884974,0.0,1.0,3,3
majority_class,classification,roc_auc,,,,,,3,0
logistic_regression,classification,balanced_accuracy,0.7333333333333334,0.7333333333333334,0.0,0.7333333333333334,0.7333333333333334,3,1
logistic_regression,classification,f1,0.5555555555555555,0.6666666666666666,0.41573970964154905,0.0,1.0,3,3
logistic_regression,classification,roc_auc,0.9333333333333333,0.9333333333333333,0.0,0.9333333333333333,0.9333333333333333,3,1
random_forest_classifier,classification,balanced_accuracy,0.9,0.9,0.0,0.9,0.9,3,1
random_forest_classifier,classification,f1,0.8008658008658008,0.8571428571428571,0.18978623564314262,0.5454545454545454,1.0,3,3
random_forest_classifier,classification,roc_auc,1.0,1.0,0.0,1.0,1.0,3,1
hist_gradient_boosting_classifier,classification,balanced_accuracy,0.5,0.5,0.0,0.5,0.5,3,1
hist_gradient_boosting_classifier,classification,f1,0.5151515151515151,0.5454545454545454,0.40881022918884974,0.0,1.0,3,3
hist_gradient_boosting_classifier,classification,roc_auc,0.5,0.5,0.0,0.5,0.5,3,1
historical_mean,regression,mae,0.0017034905941234288,0.0017613063374900617,9.400688203805782e-05,0.0015709056002289,0.0017782598446513254,3,3
historical_mean,regression,rmse,0.0018748079229517374,0.0018036113278697514,0.00011280134160836328,0.0017867757321837422,0.002034036708801718,3,3
historical_mean,regression,r2,-9.072439208727351,-3.404616054575266,8.130083469170787,-20.569734728782564,-3.2429668428242264,3,3
historical_mean,regression,pearson_correlation,,,,,,3,0
historical_mean,regression,spearman_correlation,,,,,,3,0
zero_return,regression,mae,0.0018438666617276906,0.002439991633806121,0.0010901236062755297,0.000314532280984825,0.002777076070392126,3,3
zero_return,regression,rmse,0.0019752535826879024,0.002632234113960503,0.0011272352918784176,0.00038887956207624255,0.0029046470720269614,3,3
zero_return,regression,r2,-5.582797887744673,-6.105605493517893,4.3583680142513925,-10.640046336790284,-0.002741832925841514,3,3
zero_return,regression,pearson_correlation,,,,,,3,0
zero_return,regression,spearman_correlation,,,,,,3,0
linear_regression,regression,mae,3.769672737774425e-06,3.0239452395482424e-06,1.952808112065076e-06,1.839688867609867e-06,6.445384106165165e-06,3,3
linear_regression,regression,rmse,5.331287180148288e-06,4.756974070025504e-06,2.696537238370797e-06,2.353540527527035e-06,8.883346942892326e-06,3,3
linear_regression,regression,r2,0.9999437305363376,0.9999632715790076,3.7603886704445226e-05,0.999891126743105,0.9999767932869,3,3
linear_regression,regression,pearson_correlation,0.9999975677314791,0.9999980200377704,1.7867626792361814e-06,0.9999951885930635,0.999999494563603,3,3
linear_regression,regression,spearman_correlation,1.0,1.0,0.0,1.0,1.0,3,3
random_forest_regressor,regression,mae,0.0010624770407512715,0.0005878488203114626,0.0007284368960001894,0.0005079726702237313,0.0020916096317186205,3,3
random_forest_regressor,regression,rmse,0.001129583717461533,0.0006587263191338363,0.0007579269950486519,0.0005311059605013906,0.002198918872749372,3,3
random_forest_regressor,regression,r2,-1.4759100149505986,-0.8703429472801618,1.8307727619115295,-3.958730189200497,0.4013430916288636,3,3
random_forest_regressor,regression,pearson_correlation,0.9294177412992258,0.9214080061103955,0.040052932098686995,0.8848609042159152,0.9819843135713668,3,3
random_forest_regressor,regression,spearman_correlation,0.9501048095456334,0.9880235200593538,0.06228600656309525,0.8622909085775464,1.0,3,3
hist_gradient_boosting_regressor,regression,mae,0.0017034905941234288,0.0017613063374900617,9.400688203805782e-05,0.0015709056002289,0.0017782598446513254,3,3
hist_gradient_boosting_regressor,regression,rmse,0.0018748079229517374,0.0018036113278697514,0.00011280134160836328,0.0017867757321837422,0.002034036708801718,3,3
hist_gradient_boosting_regressor,regression,r2,-9.072439208727351,-3.404616054575266,8.130083469170787,-20.569734728782564,-3.2429668428242264,3,3
hist_gradient_boosting_regressor,regression,pearson_correlation,,,,,,3,0
hist_gradient_boosting_regressor,regression,spearman_correlation,,,,,,3,0
